Scenario,High period energy consumption [mJ],High durations [s],First 350ms [mJ],High periods power [mW],Low periods power [mW],All periods power [mW]
scen_1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.240 ± 5.614
scen_2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.313 ± 5.897
scen_3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.536 ± 6.994
scen_4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,128.685 ± 7.881
scen_5,377.995 ± 18.486,2.95 ± 0.14,44.943 ± 0.098,128.116 ± 5.032,111.475 ± 4.333,116.385 ± 8.849
scen_6,380.166 ± 20.180,2.97 ± 0.16,44.978 ± 0.113,128.132 ± 5.111,111.480 ± 4.338,116.416 ± 8.878
scen_7,381.294 ± 18.102,2.97 ± 0.14,45.176 ± 0.143,128.221 ± 5.524,111.480 ± 4.336,116.454 ± 8.989
scen_8,381.723 ± 16.561,2.97 ± 0.13,45.442 ± 0.114,128.352 ± 6.001,111.525 ± 4.357,116.530 ± 9.122
scen_9,380.107 ± 17.132,2.97 ± 0.13,44.963 ± 0.098,128.117 ± 4.979,111.430 ± 4.326,112.256 ± 5.666
scen_10,377.254 ± 18.245,2.95 ± 0.14,45.003 ± 0.109,128.084 ± 5.090,111.398 ± 4.333,112.217 ± 5.668
scen_11,380.337 ± 17.495,2.97 ± 0.14,45.179 ± 0.107,128.171 ± 5.504,111.398 ± 4.325,112.227 ± 5.701
scen_12,380.224 ± 17.279,2.97 ± 0.13,45.396 ± 0.106,128.219 ± 5.984,111.396 ± 4.330,112.227 ± 5.735
