,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,61.388 ± 24.967,64.520 ± 17.947,65.585 ± 18.564,62.860 ± 18.914
scen_2,63.763 ± 23.673,66.794 ± 20.689,65.281 ± 21.144,68.826 ± 21.341
scen_3,64.958 ± 20.300,69.672 ± 21.914,70.614 ± 22.807,68.620 ± 21.947
scen_4,65.856 ± 20.902,76.198 ± 22.415,77.733 ± 24.871,72.151 ± 20.413
scen_5,64.060 ± 17.609,66.738 ± 18.242,67.374 ± 22.075,65.247 ± 22.217
scen_6,63.520 ± 20.593,65.685 ± 24.824,67.609 ± 20.476,66.060 ± 22.535
scen_7,66.220 ± 22.106,67.392 ± 22.490,69.420 ± 18.621,68.509 ± 20.531
scen_8,64.586 ± 18.282,72.184 ± 20.410,78.105 ± 27.896,73.278 ± 20.752
scen_9,63.652 ± 21.510,64.735 ± 20.657,68.826 ± 22.816,66.662 ± 21.258
scen_10,64.412 ± 18.286,66.535 ± 17.162,66.821 ± 18.382,65.980 ± 19.494
scen_11,65.069 ± 18.719,68.690 ± 18.478,66.859 ± 16.266,67.868 ± 19.676
scen_12,72.214 ± 24.350,71.464 ± 20.036,71.044 ± 20.212,69.291 ± 18.019
