,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,,0.377 ± 0.013,0.156 ± 0.010,2.273 ± 0.018
scen_2,,0.377 ± 0.007,0.162 ± 0.007,2.327 ± 0.022
scen_3,,0.582 ± 0.010,0.270 ± 0.010,2.760 ± 0.030
scen_4,,0.787 ± 0.008,0.350 ± 0.009,3.127 ± 0.031
scen_5,,0.375 ± 0.007,0.155 ± 0.007,2.275 ± 0.014
scen_6,,0.379 ± 0.009,0.163 ± 0.008,2.322 ± 0.015
scen_7,,0.581 ± 0.010,0.272 ± 0.011,2.755 ± 0.018
scen_8,,0.791 ± 0.009,0.355 ± 0.010,3.116 ± 0.018
scen_9,,0.384 ± 0.009,0.163 ± 0.007,2.283 ± 0.018
scen_10,,0.383 ± 0.008,0.168 ± 0.006,2.348 ± 0.030
scen_11,,0.587 ± 0.009,0.280 ± 0.008,2.772 ± 0.020
scen_12,,0.789 ± 0.007,0.358 ± 0.008,3.138 ± 0.028
