,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,,0.077 ± 0.235,0.298 ± 0.078,0.301 ± 0.079
scen_2,,0.054 ± 0.018,0.309 ± 0.073,0.287 ± 0.072
scen_3,,0.055 ± 0.015,0.594 ± 0.141,0.608 ± 0.147
scen_4,,0.055 ± 0.017,0.860 ± 0.180,0.885 ± 0.376
scen_5,,0.054 ± 0.015,0.307 ± 0.072,0.305 ± 0.071
scen_6,,0.053 ± 0.012,0.302 ± 0.090,0.288 ± 0.068
scen_7,,0.053 ± 0.011,0.640 ± 0.147,0.596 ± 0.146
scen_8,,0.056 ± 0.015,0.814 ± 0.168,0.873 ± 0.215
scen_9,,0.055 ± 0.012,0.293 ± 0.075,0.302 ± 0.079
scen_10,,0.054 ± 0.011,0.288 ± 0.064,0.293 ± 0.070
scen_11,,0.056 ± 0.016,0.596 ± 0.151,0.610 ± 0.147
scen_12,,0.054 ± 0.011,0.845 ± 0.173,0.873 ± 0.178
