,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,,0.014 ± 0.007,0.204 ± 0.036,0.206 ± 0.040
scen_2,,0.015 ± 0.007,0.199 ± 0.031,0.202 ± 0.034
scen_3,,0.016 ± 0.010,0.410 ± 0.042,0.414 ± 0.028
scen_4,,0.015 ± 0.008,0.623 ± 0.045,0.619 ± 0.307
scen_5,,0.014 ± 0.007,0.210 ± 0.046,0.210 ± 0.038
scen_6,,0.016 ± 0.012,0.198 ± 0.033,0.204 ± 0.036
scen_7,,0.015 ± 0.005,0.408 ± 0.045,0.416 ± 0.031
scen_8,,0.015 ± 0.004,0.616 ± 0.040,0.613 ± 0.080
scen_9,,0.015 ± 0.007,0.206 ± 0.039,0.204 ± 0.033
scen_10,,0.015 ± 0.007,0.204 ± 0.031,0.206 ± 0.034
scen_11,,0.017 ± 0.012,0.408 ± 0.028,0.412 ± 0.031
scen_12,,0.016 ± 0.005,0.615 ± 0.041,0.629 ± 0.058
