,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,0.064 ± 0.017,0.904 ± 0.466,1.276 ± 0.306,1.280 ± 0.185
scen_2,0.058 ± 0.016,0.851 ± 0.167,1.260 ± 0.172,1.297 ± 0.185
scen_3,0.057 ± 0.012,0.845 ± 0.163,1.767 ± 0.235,1.816 ± 0.247
scen_4,0.059 ± 0.013,0.848 ± 0.147,2.209 ± 0.251,2.274 ± 1.036
scen_5,0.059 ± 0.014,0.857 ± 0.155,1.249 ± 0.172,1.314 ± 0.207
scen_6,0.058 ± 0.012,0.869 ± 0.177,1.251 ± 0.189,1.291 ± 0.210
scen_7,0.060 ± 0.013,0.833 ± 0.154,1.766 ± 0.211,1.830 ± 0.273
scen_8,0.064 ± 0.043,0.848 ± 0.137,2.151 ± 0.232,2.204 ± 0.331
scen_9,0.061 ± 0.015,0.858 ± 0.144,1.251 ± 0.187,1.314 ± 0.242
scen_10,0.061 ± 0.022,0.850 ± 0.131,1.279 ± 0.187,1.288 ± 0.193
scen_11,0.060 ± 0.024,0.859 ± 0.138,1.742 ± 0.242,1.786 ± 0.233
scen_12,0.067 ± 0.023,0.856 ± 0.118,2.188 ± 0.197,2.271 ± 0.257
