,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,0.000 ± 0.000,0.040 ± 0.069,0.247 ± 0.146,0.255 ± 0.145
scen_2,0.000 ± 0.000,0.033 ± 0.017,0.250 ± 0.149,0.223 ± 0.104
scen_3,0.000 ± 0.000,0.033 ± 0.016,0.480 ± 0.273,0.471 ± 0.252
scen_4,0.000 ± 0.000,0.032 ± 0.023,0.744 ± 0.378,0.678 ± 0.468
scen_5,0.000 ± 0.000,0.035 ± 0.018,0.243 ± 0.119,0.257 ± 0.176
scen_6,0.000 ± 0.000,0.036 ± 0.019,0.254 ± 0.152,0.235 ± 0.119
scen_7,0.000 ± 0.000,0.035 ± 0.020,0.477 ± 0.204,0.469 ± 0.234
scen_8,0.000 ± 0.000,0.031 ± 0.017,0.614 ± 0.245,0.683 ± 0.331
scen_9,0.000 ± 0.000,0.034 ± 0.019,0.240 ± 0.121,0.232 ± 0.113
scen_10,0.000 ± 0.000,0.035 ± 0.015,0.248 ± 0.106,0.243 ± 0.143
scen_11,0.000 ± 0.000,0.031 ± 0.014,0.460 ± 0.240,0.491 ± 0.246
scen_12,0.000 ± 0.000,0.033 ± 0.021,0.752 ± 0.416,0.670 ± 0.255
