,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,,0.361 ± 0.079,0.194 ± 0.005,2.248 ± 0.035
scen_2,,0.360 ± 0.011,0.203 ± 0.005,2.298 ± 0.024
scen_3,,0.561 ± 0.011,0.319 ± 0.007,2.716 ± 0.026
scen_4,,0.761 ± 0.011,0.401 ± 0.007,3.077 ± 0.024
scen_5,,0.358 ± 0.011,0.193 ± 0.005,2.248 ± 0.020
scen_6,,0.361 ± 0.012,0.203 ± 0.005,2.300 ± 0.023
scen_7,,0.563 ± 0.011,0.320 ± 0.007,2.722 ± 0.024
scen_8,,0.769 ± 0.012,0.402 ± 0.007,3.085 ± 0.025
scen_9,,0.362 ± 0.012,0.193 ± 0.005,2.258 ± 0.022
scen_10,,0.368 ± 0.011,0.204 ± 0.002,2.314 ± 0.021
scen_11,,0.570 ± 0.010,0.321 ± 0.004,2.731 ± 0.022
scen_12,,0.773 ± 0.010,0.403 ± 0.004,3.092 ± 0.022
