,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,1.465 ± 0.045,1.483 ± 0.080,1.521 ± 0.139,1.508 ± 0.138
scen_2,1.472 ± 0.145,1.503 ± 0.140,1.497 ± 0.161,1.491 ± 0.110
scen_3,1.465 ± 0.064,1.496 ± 0.140,1.527 ± 0.156,1.505 ± 0.138
scen_4,1.462 ± 0.101,1.542 ± 0.094,1.558 ± 0.169,1.548 ± 0.112
scen_5,1.471 ± 0.091,1.480 ± 0.074,1.476 ± 0.120,1.473 ± 0.120
scen_6,1.466 ± 0.068,1.469 ± 0.128,1.510 ± 0.132,1.478 ± 0.150
scen_7,1.477 ± 0.168,1.505 ± 0.148,1.521 ± 0.093,1.529 ± 0.128
scen_8,1.467 ± 0.091,1.562 ± 0.154,1.549 ± 0.164,1.570 ± 0.199
scen_9,1.462 ± 0.141,1.467 ± 0.103,1.481 ± 0.128,1.477 ± 0.152
scen_10,1.470 ± 0.098,1.486 ± 0.106,1.494 ± 0.099,1.497 ± 0.132
scen_11,1.472 ± 0.083,1.519 ± 0.117,1.548 ± 0.150,1.512 ± 0.103
scen_12,1.483 ± 0.162,1.557 ± 0.138,1.571 ± 0.144,1.548 ± 0.127
