,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,1.810 ± 0.202,1.849 ± 0.224,1.844 ± 0.214,1.834 ± 0.207
scen_2,1.816 ± 0.211,1.823 ± 0.212,1.841 ± 0.227,1.860 ± 0.250
scen_3,1.800 ± 0.195,1.856 ± 0.314,1.839 ± 0.312,1.853 ± 0.230
scen_4,1.794 ± 0.211,1.896 ± 0.360,1.880 ± 0.340,1.916 ± 0.332
scen_5,1.810 ± 0.196,1.819 ± 0.187,1.834 ± 0.234,1.822 ± 0.200
scen_6,1.880 ± 0.257,1.848 ± 0.227,1.805 ± 0.219,1.882 ± 0.285
scen_7,1.826 ± 0.212,1.906 ± 0.349,1.878 ± 0.327,1.891 ± 0.346
scen_8,1.863 ± 0.243,1.942 ± 0.353,1.879 ± 0.362,1.922 ± 0.363
scen_9,1.804 ± 0.218,1.820 ± 0.215,1.805 ± 0.223,1.823 ± 0.218
scen_10,1.813 ± 0.209,1.852 ± 0.238,1.848 ± 0.220,1.889 ± 0.236
scen_11,1.844 ± 0.227,1.853 ± 0.222,1.884 ± 0.213,1.925 ± 0.249
scen_12,1.751 ± 0.176,1.894 ± 0.215,1.925 ± 0.238,1.826 ± 0.176
