,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,214.097 ± 89.634,231.028 ± 79.060,236.647 ± 82.708,226.150 ± 84.460
scen_2,222.659 ± 92.659,233.623 ± 81.089,236.390 ± 86.212,240.712 ± 82.827
scen_3,244.101 ± 95.563,243.214 ± 84.821,241.145 ± 85.007,236.935 ± 77.519
scen_4,251.606 ± 81.973,255.186 ± 87.970,224.989 ± 79.683,242.121 ± 77.860
scen_5,223.419 ± 77.439,224.939 ± 89.330,240.372 ± 86.096,233.235 ± 86.198
scen_6,234.256 ± 92.679,218.113 ± 84.019,230.213 ± 82.385,233.981 ± 83.551
scen_7,241.314 ± 72.335,230.320 ± 91.870,244.226 ± 84.760,239.064 ± 87.565
scen_8,229.217 ± 87.370,251.062 ± 78.902,248.936 ± 74.980,234.400 ± 76.869
scen_9,243.991 ± 81.630,229.774 ± 75.815,238.690 ± 112.102,238.611 ± 78.625
scen_10,237.237 ± 78.560,220.758 ± 76.753,220.908 ± 77.862,228.680 ± 78.839
scen_11,233.800 ± 78.112,255.006 ± 70.858,243.905 ± 76.680,231.415 ± 87.306
scen_12,259.764 ± 81.782,245.534 ± 91.203,229.868 ± 94.238,236.249 ± 77.408
