,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,152.709 ± 83.616,166.508 ± 75.455,171.062 ± 78.180,163.290 ± 78.711
scen_2,158.896 ± 85.255,166.829 ± 76.764,171.109 ± 82.015,171.886 ± 78.315
scen_3,179.143 ± 92.014,173.542 ± 79.097,170.531 ± 83.173,168.315 ± 72.906
scen_4,185.750 ± 75.788,178.988 ± 81.796,147.256 ± 75.095,169.970 ± 73.305
scen_5,159.358 ± 72.393,158.201 ± 86.885,172.998 ± 81.621,167.989 ± 78.994
scen_6,170.735 ± 87.775,152.428 ± 80.108,162.604 ± 78.566,167.922 ± 77.678
scen_7,175.094 ± 64.855,162.928 ± 88.459,174.805 ± 80.867,170.555 ± 82.901
scen_8,164.631 ± 83.865,178.877 ± 75.540,170.830 ± 71.637,161.122 ± 71.904
scen_9,180.339 ± 76.380,165.039 ± 71.004,169.864 ± 107.581,171.949 ± 73.981
scen_10,172.824 ± 75.543,154.223 ± 73.651,154.087 ± 75.039,162.701 ± 73.470
scen_11,168.731 ± 74.968,186.316 ± 68.444,177.046 ± 73.829,163.547 ± 82.222
scen_12,187.550 ± 75.216,174.070 ± 85.624,158.824 ± 88.594,166.958 ± 74.700
