,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,218.263 ± 89.604,237.133 ± 79.148,242.707 ± 82.647,236.684 ± 84.442
scen_2,226.832 ± 92.639,239.657 ± 81.068,242.478 ± 86.147,251.445 ± 82.815
scen_3,248.236 ± 95.533,249.828 ± 84.810,248.103 ± 84.891,249.142 ± 77.485
scen_4,255.745 ± 81.961,262.388 ± 87.909,232.770 ± 79.641,255.749 ± 77.642
scen_5,227.587 ± 77.418,230.947 ± 89.306,246.339 ± 85.993,243.746 ± 86.143
scen_6,238.493 ± 92.643,224.166 ± 83.977,236.277 ± 82.296,244.714 ± 83.535
scen_7,245.508 ± 72.274,236.986 ± 91.810,251.228 ± 84.722,251.349 ± 87.543
scen_8,233.448 ± 87.351,258.347 ± 78.844,256.660 ± 74.918,247.985 ± 76.776
scen_9,248.153 ± 81.608,235.787 ± 75.724,244.644 ± 112.050,249.144 ± 78.553
scen_10,241.417 ± 78.564,226.826 ± 76.743,227.039 ± 77.878,239.478 ± 78.803
scen_11,238.013 ± 78.126,261.675 ± 70.847,250.924 ± 76.631,243.704 ± 87.264
scen_12,263.887 ± 81.725,252.780 ± 91.179,237.701 ± 94.213,249.814 ± 77.365
