,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,0.614 ± 0.036,1.263 ± 0.209,1.060 ± 0.123,3.376 ± 0.151
scen_2,0.613 ± 0.018,1.252 ± 0.026,1.123 ± 0.019,3.494 ± 0.025
scen_3,0.609 ± 0.015,1.606 ± 0.025,1.348 ± 0.022,4.008 ± 0.029
scen_4,0.612 ± 0.017,1.901 ± 0.026,1.575 ± 0.030,4.503 ± 0.033
scen_5,0.613 ± 0.016,1.249 ± 0.022,1.050 ± 0.023,3.365 ± 0.023
scen_6,0.618 ± 0.017,1.260 ± 0.026,1.130 ± 0.022,3.496 ± 0.021
scen_7,0.617 ± 0.015,1.613 ± 0.024,1.359 ± 0.028,4.016 ± 0.027
scen_8,0.621 ± 0.019,1.916 ± 0.028,1.580 ± 0.029,4.511 ± 0.032
scen_9,0.620 ± 0.020,1.255 ± 0.023,1.052 ± 0.020,3.372 ± 0.026
scen_10,0.621 ± 0.009,1.268 ± 0.019,1.135 ± 0.012,3.512 ± 0.017
scen_11,0.622 ± 0.012,1.623 ± 0.019,1.356 ± 0.017,4.029 ± 0.029
scen_12,0.616 ± 0.020,1.920 ± 0.027,1.582 ± 0.019,4.520 ± 0.026
