,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,0.000 ± 0.000,0.358 ± 0.168,0.170 ± 0.087,2.280 ± 1.298
scen_2,0.000 ± 0.000,0.356 ± 0.165,0.181 ± 0.100,2.118 ± 0.970
scen_3,0.000 ± 0.000,0.534 ± 0.261,0.280 ± 0.149,2.499 ± 1.115
scen_4,0.000 ± 0.000,0.700 ± 0.379,0.376 ± 0.178,2.739 ± 1.162
scen_5,0.000 ± 0.000,0.382 ± 0.191,0.164 ± 0.073,2.214 ± 1.226
scen_6,0.000 ± 0.000,0.391 ± 0.182,0.184 ± 0.099,2.205 ± 1.079
scen_7,0.000 ± 0.000,0.590 ± 0.318,0.273 ± 0.124,2.524 ± 1.107
scen_8,0.000 ± 0.000,0.692 ± 0.336,0.325 ± 0.115,2.830 ± 1.226
scen_9,0.000 ± 0.000,0.364 ± 0.167,0.172 ± 0.082,2.075 ± 0.896
scen_10,0.000 ± 0.000,0.376 ± 0.144,0.187 ± 0.075,2.276 ± 1.202
scen_11,0.000 ± 0.000,0.488 ± 0.187,0.275 ± 0.136,2.648 ± 1.278
scen_12,0.000 ± 0.000,0.746 ± 0.421,0.391 ± 0.208,2.769 ± 0.962
