,NONE,AES-GCM,ASCON,masked_ASCON
scen_1,97.702 ± 1.111,97.032 ± 1.400,97.042 ± 1.584,94.683 ± 3.056
scen_2,97.750 ± 1.191,97.079 ± 1.409,96.978 ± 1.685,95.082 ± 2.270
scen_3,97.884 ± 1.611,96.907 ± 1.529,96.667 ± 1.859,94.421 ± 2.542
scen_4,98.096 ± 1.047,96.713 ± 1.958,96.102 ± 1.914,93.949 ± 2.716
scen_5,97.895 ± 0.902,96.868 ± 1.575,97.172 ± 1.319,94.838 ± 2.944
scen_6,97.866 ± 1.016,96.790 ± 1.528,96.935 ± 1.693,94.870 ± 2.558
scen_7,98.113 ± 0.662,96.552 ± 1.895,96.767 ± 1.466,94.331 ± 2.522
scen_8,97.839 ± 1.086,96.751 ± 1.679,96.671 ± 1.256,93.782 ± 2.764
scen_9,98.071 ± 0.838,97.047 ± 1.432,97.112 ± 1.408,95.176 ± 2.107
scen_10,98.028 ± 0.827,96.965 ± 1.177,96.925 ± 1.202,94.712 ± 2.846
scen_11,97.986 ± 0.821,97.186 ± 1.076,96.770 ± 1.636,94.079 ± 2.875
scen_12,98.235 ± 0.751,96.527 ± 2.023,95.967 ± 2.167,93.961 ± 2.128
